time,temperature_2m,relative_humidity_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone
2026-08-27T00:00,26.8,82,0.0,1004.8,14.1,245,55.8,23.7,173.0,11.6,5.5,42.0
2026-08-27T01:00,26.7,82,0.0,1004.9,13.6,246,53.6,22.6,151.0,9.1,4.9,44.0
2026-08-27T02:00,26.4,83,0.0,1004.4,14.0,248,52.4,21.5,134.0,7.1,4.5,46.0
2026-08-27T03:00,26.4,84,0.0,1004.0,14.2,248,48.5,20.2,122.0,5.9,4.3,47.0
2026-08-27T04:00,26.3,85,0.0,1003.8,15.4,251,46.8,19.3,116.0,5.1,4.2,47.0
2026-08-27T05:00,26.4,83,0.0,1004.0,15.9,254,52.4,20.6,126.0,5.0,4.2,48.0
2026-08-27T06:00,26.3,83,0.0,1004.4,15.9,258,53.3,21.2,167.0,6.6,4.5,47.0
2026-08-27T07:00,26.5,82,0.0,1004.7,16.1,260,58.3,23.3,224.0,8.7,5.0,45.0
2026-08-27T08:00,27.3,77,0.0,1004.8,18.6,258,59.4,23.8,258.0,9.7,5.3,46.0
2026-08-27T09:00,28.1,72,0.1,1005.1,19.0,260,69.4,27.3,245.0,8.5,5.2,52.0
2026-08-27T10:00,28.6,70,0.1,1005.2,19.5,259,72.6,28.7,208.0,6.3,5.0,60.0
2026-08-27T11:00,29.2,68,0.1,1005.2,20.4,261,71.9,28.6,182.0,4.5,4.8,67.0
2026-08-27T12:00,29.4,67,0.1,1004.5,19.9,260,70.5,28.1,179.0,3.6,4.6,72.0
2026-08-27T13:00,29.5,66,0.0,1004.0,18.9,254,65.9,26.7,187.0,3.3,4.5,75.0
2026-08-27T14:00,29.8,65,0.0,1003.3,18.7,242,62.6,25.7,198.0,3.4,4.4,75.0
2026-08-27T15:00,29.4,67,0.0,1002.6,18.5,239,57.3,24.2,213.0,4.2,4.4,71.0
2026-08-27T16:00,29.0,69,0.0,1002.2,18.3,239,54.0,23.1,231.0,5.5,4.5,64.0
2026-08-27T17:00,28.5,72,0.0,1002.0,18.3,237,49.2,21.7,242.0,7.2,4.6,57.0
2026-08-27T18:00,27.9,75,0.0,1001.8,17.8,236,45.1,20.7,239.0,9.6,4.8,51.0
2026-08-27T19:00,27.3,79,0.1,1002.3,17.0,238,43.3,20.4,229.0,12.2,4.9,46.0
2026-08-27T20:00,27.1,81,0.1,1002.8,17.3,243,45.1,21.4,221.0,13.9,5.1,42.0
2026-08-27T21:00,26.8,85,0.0,1003.5,15.3,245,37.4,17.5,223.0,13.9,5.2,41.0
2026-08-27T22:00,26.7,85,0.0,1004.1,14.7,245,40.0,18.2,227.0,12.9,5.3,41.0
2026-08-27T23:00,26.5,86,0.0,1004.0,15.1,252,34.5,16.4,221.0,11.6,5.3,42.0
2026-08-28T00:00,26.3,87,0.0,1003.9,14.8,254,34.0,16.0,193.0,10.2,5.1,43.0
2026-08-28T01:00,26.1,89,0.0,1003.4,14.1,253,35.9,16.8,154.0,8.5,4.7,44.0
2026-08-28T02:00,26.0,90,0.0,1002.7,14.3,250,29.0,14.2,126.0,7.1,4.4,45.0
2026-08-28T03:00,26.0,91,0.0,1002.4,13.9,246,26.3,12.9,112.0,6.1,4.2,46.0
2026-08-28T04:00,25.8,91,0.0,1002.3,14.3,250,25.6,12.4,108.0,5.4,4.2,46.0
2026-08-28T05:00,25.8,90,0.0,1002.6,14.3,258,25.6,12.3,122.0,5.3,4.2,46.0
2026-08-28T06:00,25.7,91,0.0,1003.0,14.7,262,26.3,12.7,171.0,6.5,4.4,45.0
2026-08-28T07:00,26.1,88,0.0,1003.5,14.1,260,29.2,13.9,237.0,8.3,4.8,44.0
2026-08-28T08:00,27.1,81,0.0,1003.8,16.7,256,33.2,16.2,275.0,9.2,5.0,46.0
2026-08-28T09:00,28.2,74,0.0,1003.9,18.2,256,38.9,18.9,258.0,8.1,5.0,53.0
2026-08-28T10:00,29.1,69,0.0,1003.9,18.6,256,40.6,19.6,213.0,6.0,4.9,62.0
2026-08-28T11:00,29.2,69,0.0,1003.8,18.6,253,40.3,19.9,180.0,4.3,4.8,69.0
2026-08-28T12:00,29.7,67,0.0,1003.4,19.0,250,40.7,20.3,172.0,3.5,4.7,74.0
2026-08-28T13:00,30.0,66,0.0,1002.7,19.2,246,40.6,20.5,176.0,3.2,4.5,77.0
2026-08-28T14:00,30.0,67,0.0,1001.9,18.6,242,39.8,20.4,185.0,3.3,4.4,77.0
2026-08-28T15:00,29.6,68,0.0,1001.5,19.0,239,38.6,20.1,204.0,4.1,4.4,73.0
2026-08-28T16:00,29.1,70,0.0,1001.2,19.2,236,38.3,20.1,228.0,5.3,4.4,65.0
2026-08-28T17:00,28.3,74,0.0,1001.2,18.9,235,38.0,19.8,244.0,6.8,4.4,58.0
2026-08-28T18:00,27.7,79,0.0,1001.3,19.0,237,37.3,19.3,243.0,8.8,4.5,52.0
2026-08-28T19:00,26.9,84,0.0,1001.5,17.7,237,35.5,19.3,234.0,11.0,4.7,47.0
2026-08-28T20:00,26.6,86,0.0,1002.1,16.9,237,34.6,18.9,223.0,12.3,4.8,43.0
2026-08-28T21:00,26.7,86,0.0,1003.1,16.2,238,29.6,15.7,214.0,12.2,4.8,42.0
2026-08-28T22:00,26.7,85,0.1,1004.0,14.7,248,28.1,14.9,203.0,11.3,4.8,42.0
2026-08-28T23:00,26.5,87,0.1,1004.1,15.4,252,25.7,13.9,189.0,10.1,4.7,43.0
2026-08-29T00:00,26.3,89,0.0,1004.0,15.2,246,25.1,13.5,167.0,8.8,4.5,43.0
2026-08-29T01:00,26.1,90,0.0,1003.4,15.8,241,24.2,13.0,141.0,7.3,4.2,44.0
2026-08-29T02:00,26.1,89,0.0,1002.9,15.5,244,23.7,12.6,122.0,6.1,4.0,44.0
2026-08-29T03:00,26.0,89,0.0,1002.6,16.0,247,23.5,12.3,111.0,5.3,4.0,44.0
2026-08-29T04:00,26.0,89,0.0,1002.3,15.9,250,23.3,12.1,106.0,4.9,4.0,45.0
2026-08-29T05:00,25.9,90,0.0,1002.4,17.0,253,23.5,12.1,119.0,4.9,4.1,45.0
2026-08-29T06:00,25.9,90,0.0,1002.6,17.2,252,23.2,12.1,167.0,5.8,4.1,45.0
2026-08-29T07:00,26.2,88,0.0,1003.0,18.5,255,26.9,13.4,231.0,7.2,4.1,45.0
2026-08-29T08:00,27.2,81,0.1,1003.5,20.0,254,33.5,16.0,269.0,7.9,4.1,46.0
2026-08-29T09:00,28.0,76,0.0,1004.0,20.2,253,36.1,17.9,253.0,7.1,4.2,51.0
2026-08-29T10:00,28.8,71,0.1,1004.4,19.9,252,36.3,18.1,210.0,5.5,4.3,57.0
2026-08-29T11:00,29.4,68,0.1,1004.3,20.0,251,36.6,18.3,177.0,4.2,4.3,62.0
2026-08-29T12:00,29.5,67,0.1,1003.7,20.3,249,36.3,18.3,169.0,3.6,4.2,65.0
2026-08-29T13:00,29.6,67,0.0,1003.0,19.9,246,36.3,18.6,172.0,3.2,4.0,67.0
