target,model,rmse,mae,r2,best_parameters
AQI_t+1,Ridge,16.952377833976445,11.97359410198384,0.48400220029543883,"{'model__alpha': 50, 'selector__k': 15}"
AQI_t+1,Lasso,17.06611456251887,12.309271777512553,0.47705511872377615,"{'model__alpha': 1.0, 'selector__k': 15}"
AQI_t+1,ElasticNet,16.91537396520859,12.073485780418077,0.4862523950268052,"{'model__alpha': 0.5, 'model__l1_ratio': 0.5, 'selector__k': 15}"
AQI_t+1,RandomForest,17.41086698434564,12.699099076926704,0.45571370598034955,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 150, 'selector__k': 10}"
AQI_t+1,ExtraTrees,17.716768597463446,13.032705965396982,0.436419927456108,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 100, 'selector__k': 20}"
AQI_t+1,HistGradientBoosting,17.060702588578962,12.342418523058795,0.4773867367157888,"{'model__l2_regularization': 5.0, 'model__learning_rate': 0.03, 'model__max_iter': 100, 'model__max_leaf_nodes': 15, 'selector__k': 10}"
AQI_t+1,XGBoost,17.310848971462555,12.454544843253442,0.46194913019127937,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__subsample': 0.8, 'selector__k': 10}"
AQI_t+2,Ridge,20.67972443251144,15.432654172337344,0.23411940557385946,"{'model__alpha': 100, 'selector__k': 10}"
AQI_t+2,Lasso,21.504284755645106,16.710482570220627,0.17182603113535566,"{'model__alpha': 1.0, 'selector__k': 10}"
AQI_t+2,ElasticNet,20.85885531231081,15.628688338558982,0.22079359383464436,"{'model__alpha': 0.5, 'model__l1_ratio': 0.1, 'selector__k': 10}"
AQI_t+2,RandomForest,20.797584498078972,15.412296495051256,0.22536455332973215,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 100, 'selector__k': 20}"
AQI_t+2,ExtraTrees,20.724524791624006,15.28036465660531,0.23079741817712573,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 150, 'selector__k': 20}"
AQI_t+2,HistGradientBoosting,21.290340045654062,15.799715038382148,0.18822295374124853,"{'model__l2_regularization': 5.0, 'model__learning_rate': 0.03, 'model__max_iter': 100, 'model__max_leaf_nodes': 5, 'selector__k': 15}"
AQI_t+2,XGBoost,20.941579946609643,15.585193828000861,0.21460079131568588,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__subsample': 0.8, 'selector__k': 20}"
AQI_t+3,Ridge,21.764398296979888,16.3103845883296,0.15249418120718028,"{'model__alpha': 100, 'selector__k': 10}"
AQI_t+3,Lasso,23.591714358815263,18.5944459112067,0.004208623308410431,"{'model__alpha': 1.0, 'selector__k': 10}"
AQI_t+3,ElasticNet,22.14551342470173,16.66628871563347,0.12255305649471282,"{'model__alpha': 0.5, 'model__l1_ratio': 0.1, 'selector__k': 10}"
AQI_t+3,RandomForest,21.057696579227933,15.488886335182253,0.20663856492190302,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 150, 'selector__k': 20}"
AQI_t+3,ExtraTrees,21.106559745258686,15.357361682581574,0.20295239452962388,"{'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 150, 'selector__k': 20}"
AQI_t+3,HistGradientBoosting,21.685628569968408,16.572781844989677,0.15861766747439465,"{'model__l2_regularization': 1.0, 'model__learning_rate': 0.03, 'model__max_iter': 100, 'model__max_leaf_nodes': 5, 'selector__k': 10}"
AQI_t+3,XGBoost,21.254693647485347,15.975152484441209,0.19172516442871923,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__subsample': 0.8, 'selector__k': 20}"
